id,RoleId,skillId,department
1e01c72b-c5e7-4b8f-93a7-2513370a8504,aa522c58-2f8c-4588-9512-ecc05bf75625,049a87b7-29f2-4a14-a1f4-c1f627271740,DATA_ANALYTICS
533f9a23-e88c-4210-a229-5f792564da96,aa522c58-2f8c-4588-9512-ecc05bf75625,5823f7a6-8471-4ad0-8a29-b4f722594a1b,DATA_ANALYTICS
aabb183f-6840-48a6-8884-0699503da4d0,aa522c58-2f8c-4588-9512-ecc05bf75625,86b5dcdd-0ccc-48d7-a9d4-5f3d3f612bb5,ADMIN
200c61e3-4fdb-4aa7-b159-f1fabb0e839e,aa522c58-2f8c-4588-9512-ecc05bf75625,e0271945-2846-4a5b-b9bd-da977b7eced7,DEVOPS
cc6fffa1-0b4e-4cba-a91a-d5ce63e38f1c,aa522c58-2f8c-4588-9512-ecc05bf75625,56398748-2fcc-493f-b3ae-2443a13d5ffd,DATA_ANALYTICS
6cf07ebc-a250-4abb-bb27-279fd41e206b,aa522c58-2f8c-4588-9512-ecc05bf75625,cb9c80cd-c20e-4464-a182-a468f6c4ded0,OTHER
64ad8b2d-7455-4924-9f59-df5bc052bdab,aa522c58-2f8c-4588-9512-ecc05bf75625,4762548d-18c4-43ca-b0a4-c226cea7fd34,ADMIN
15ea4ac7-7ebf-419e-9c9a-093176802ea1,aa522c58-2f8c-4588-9512-ecc05bf75625,2d49bb58-d546-4900-b538-91593719f265,DATA_ANALYTICS
1a27649c-bc71-43ec-9484-5198f1ecaccd,aa522c58-2f8c-4588-9512-ecc05bf75625,acffc152-3549-4a53-aa13-4ed4e6d3b48d,OTHER
eba3c72b-8243-4466-ab4f-63d7ea4a1957,aa522c58-2f8c-4588-9512-ecc05bf75625,2d878438-5907-44b5-9b52-6c824ff46659,OTHER
84f333da-fa38-4167-a4bf-5392f10f0f6f,aa522c58-2f8c-4588-9512-ecc05bf75625,7d1038df-64fb-430a-b1e7-f5d719ae3895,DATA_ANALYTICS
3ae7928e-8361-4272-92aa-15dd4daa3923,aa522c58-2f8c-4588-9512-ecc05bf75625,480119cf-741b-4053-8baa-5b280038aeaf,ADMIN
964bc26e-54e6-4b8e-a9e7-fbfb1f7c8854,aa522c58-2f8c-4588-9512-ecc05bf75625,696fd15b-54f7-41fe-a2af-d5e2825f168e,DATA_ENGINEERING
8e381691-6b21-4434-a499-5051db3fb03e,aa522c58-2f8c-4588-9512-ecc05bf75625,7621eacc-89e3-479e-a7c6-2338d5c816c4,DATA_ANALYTICS
99c84538-6269-4c3c-8b00-85e640c1a217,aa522c58-2f8c-4588-9512-ecc05bf75625,10ff0c55-c853-46c4-bd60-8be0f4db309b,DATA_ANALYTICS
858c4a79-60c9-4c7c-935d-8f69607c2bd8,1a71a5ca-a55b-49aa-91c2-e76fa13e8b7b,56398748-2fcc-493f-b3ae-2443a13d5ffd,FULL_STACK
caa8e086-a120-4502-82ec-475a5b76cad3,1a71a5ca-a55b-49aa-91c2-e76fa13e8b7b,4762548d-18c4-43ca-b0a4-c226cea7fd34,DATA_ANALYTICS
1fe83051-56e1-446b-a398-9fb891a374ad,1a71a5ca-a55b-49aa-91c2-e76fa13e8b7b,5e2dd7bd-83e4-4be2-b9a3-0fdebca7a33d,DEVOPS
22f315eb-909a-4b5e-af99-9e9b5b276fe3,1a71a5ca-a55b-49aa-91c2-e76fa13e8b7b,1a2c0072-2464-48ce-addf-40e1f19755b7,DATA_ANALYTICS
c3c7ee8c-51f9-4cb7-ac10-e78c9678f6bc,1a71a5ca-a55b-49aa-91c2-e76fa13e8b7b,f7bfd2c4-a529-4691-b94a-ca1a64b58067,DATA_ENGINEERING
96f49d4e-e310-4828-9d79-06d51fa6e408,1a71a5ca-a55b-49aa-91c2-e76fa13e8b7b,176dc52e-8959-4b7d-96aa-4fbf571bf886,OTHER
7bf98047-42cd-4247-948e-6d203fb6f2bb,1a71a5ca-a55b-49aa-91c2-e76fa13e8b7b,f8ffa0bd-5907-4e18-a22d-2f9a6392bb95,OTHER
4c421256-aec7-45b7-9078-4531aeb43700,1a71a5ca-a55b-49aa-91c2-e76fa13e8b7b,feaae467-556a-4ef6-8f94-81ac8847c300,OTHER
52545cf7-37d4-4c2f-8a33-89081356a955,1a71a5ca-a55b-49aa-91c2-e76fa13e8b7b,eb978b5e-e685-4198-8179-b9eafc3d977d,ADMIN
5ad3a775-19fe-451e-8321-69b8220abb7b,1a71a5ca-a55b-49aa-91c2-e76fa13e8b7b,bb173388-39b3-4b66-a046-f2f483e19e4f,DEVOPS
7bd6f775-a313-44e4-a557-e865e59af055,1a71a5ca-a55b-49aa-91c2-e76fa13e8b7b,a095c357-7726-49ce-b2ab-e1f98fdfda94,ADMIN
cb0721d4-ba05-48d9-993c-fc28361b8dd3,1a71a5ca-a55b-49aa-91c2-e76fa13e8b7b,927d2b4e-0db9-4580-8c6b-b0c77e91a6b1,ADMIN
e65a87f2-ce75-45e7-a4e0-6fee6f642aa2,1a71a5ca-a55b-49aa-91c2-e76fa13e8b7b,b67e5aab-2621-49d1-99e2-aa025e1ab99f,DATA_ENGINEERING
d2620ba2-52f4-4b3b-bc77-637cbd23d530,1a71a5ca-a55b-49aa-91c2-e76fa13e8b7b,55eea98f-46b5-4400-8d56-f45408239a2a,DEVOPS
5be2422d-80db-4c6c-821d-8cffe0eeb812,1a71a5ca-a55b-49aa-91c2-e76fa13e8b7b,1fcb7e91-34b2-4b6f-9efa-27234c4bfd1c,DATA_ANALYTICS
430af407-a2ea-41e0-a0e4-f537dc83b275,bbca132f-1de0-4bb5-ac64-6b9d3660bec5,feaae467-556a-4ef6-8f94-81ac8847c300,FULL_STACK
39b3eba6-da4a-40a2-b196-c736ab6ebdd0,bbca132f-1de0-4bb5-ac64-6b9d3660bec5,b67e5aab-2621-49d1-99e2-aa025e1ab99f,OTHER
4038d106-39d8-4e11-b0ac-ddc21fc79c0a,bbca132f-1de0-4bb5-ac64-6b9d3660bec5,6203c801-d668-4c19-b398-60be198c8148,FULL_STACK
641ea820-c094-4443-ac2a-418e08b6f0f1,bbca132f-1de0-4bb5-ac64-6b9d3660bec5,10ff0c55-c853-46c4-bd60-8be0f4db309b,FULL_STACK
9eb02519-779a-4f50-b932-a9e445b92c8c,bbca132f-1de0-4bb5-ac64-6b9d3660bec5,d65fc84c-f7eb-4316-8f21-6624c1251d62,FULL_STACK
8ebdcd2d-b9ce-4e1f-a409-602ab894e1e8,bbca132f-1de0-4bb5-ac64-6b9d3660bec5,db3f015d-8d65-497b-9ae4-3bf9200f3145,DATA_ANALYTICS
772e06cd-08e7-4bb4-8fd1-4312840c2a3c,bbca132f-1de0-4bb5-ac64-6b9d3660bec5,f90889c7-73a6-4eb1-abb8-553c7341b115,FULL_STACK
b3e3d957-ef98-4ba3-80c9-a4022cd86905,bbca132f-1de0-4bb5-ac64-6b9d3660bec5,927d2b4e-0db9-4580-8c6b-b0c77e91a6b1,DATA_ANALYTICS
d0b118bf-e15a-485e-aaa9-6f09f9b7c9b9,bbca132f-1de0-4bb5-ac64-6b9d3660bec5,5997466b-b029-42de-833f-2ecae6b4722a,DEVOPS
331fa9f3-e8ea-4ff9-8ef6-99ab433ec630,bbca132f-1de0-4bb5-ac64-6b9d3660bec5,63423130-bc08-4a7a-af9c-7e74fe365574,DEVOPS
395bad0c-6f9f-42c4-b686-3baa89550df9,bbca132f-1de0-4bb5-ac64-6b9d3660bec5,c629f52b-97a7-435a-ab10-36bf2f9f5e25,DEVOPS
f7d40a98-be82-4aa1-b8e1-7b6504c72cb3,bbca132f-1de0-4bb5-ac64-6b9d3660bec5,b1bd2b54-1176-4114-9d3f-f54b4279f5fd,OTHER
932475fc-4a38-40d6-a831-20c628494f6c,bbca132f-1de0-4bb5-ac64-6b9d3660bec5,573a6ce4-0da8-4510-9af6-f1378a4b67f6,ADMIN
ee017570-9e57-444d-839b-67aece63dd35,bbca132f-1de0-4bb5-ac64-6b9d3660bec5,c3d32a4e-c534-44d1-9ff8-709c2f5f8382,FULL_STACK
37e69a49-89dd-488b-9f2f-a4457bece5d0,bbca132f-1de0-4bb5-ac64-6b9d3660bec5,1c7fb394-bc8e-4a55-bb0a-8c996aa016c0,DATA_ENGINEERING
56a4c2b1-b856-4f67-863a-d27b20dde048,5410503e-a894-4cca-b2db-b1d617e48eb4,feaae467-556a-4ef6-8f94-81ac8847c300,DATA_ANALYTICS
1302663c-67bf-4653-930d-603dbfbce1d1,5410503e-a894-4cca-b2db-b1d617e48eb4,a715e00a-618f-4ab5-a0e4-30384ef848d3,DATA_ANALYTICS
d7c6b04c-9e2e-4321-ab72-5481d41bc650,5410503e-a894-4cca-b2db-b1d617e48eb4,8bca1dd8-ac55-4e6f-bd7d-ba19fe5dbf1c,ADMIN
a1567d5b-46bc-47cb-a6e0-577ed9d0b46d,5410503e-a894-4cca-b2db-b1d617e48eb4,b67e5aab-2621-49d1-99e2-aa025e1ab99f,DATA_ANALYTICS
388c14f8-0c62-4976-bfac-2857634ef406,5410503e-a894-4cca-b2db-b1d617e48eb4,af1a60d7-b8c7-4fd3-8785-fdbd945a8ea4,DATA_ANALYTICS
bf974838-46d5-4e3d-b5d2-c6b33a22822a,5410503e-a894-4cca-b2db-b1d617e48eb4,5e2dd7bd-83e4-4be2-b9a3-0fdebca7a33d,DATA_ENGINEERING
c30410ab-4ab3-4349-a43e-1c74bc9bc3ec,5410503e-a894-4cca-b2db-b1d617e48eb4,e0271945-2846-4a5b-b9bd-da977b7eced7,FULL_STACK
2928ca73-cd9c-46bc-9d90-932756051cf3,5410503e-a894-4cca-b2db-b1d617e48eb4,d65fc84c-f7eb-4316-8f21-6624c1251d62,ADMIN
f78f3ad7-917d-4445-8fe3-c3940f846211,5410503e-a894-4cca-b2db-b1d617e48eb4,b8133d09-53c6-485b-bb41-83ab71cac207,FULL_STACK
