_id,name,created_at,updated_at,desc
b2780056-9703-4c9a-91a2-f0a14dcac2a6,Java,2023-02-01T04:26:21,2021-12-12T19:44:40,Java
733b90fc-9f19-4a81-bcf2-6250b683fc02,Python,2023-08-05T02:18:59,2022-06-20T14:25:26,Python
f619c86e-f085-480f-978a-d86b945455a3,C#,2020-04-25T05:47:04,2020-08-15T00:41:34,C#
014e1698-6d93-4bfb-a835-b77ad2271f08,JavaScript,2021-11-24T17:56:36,2023-08-15T13:02:25,JavaScript
273d1c01-d465-4814-9406-443a480674d1,React,2021-09-07T18:17:41,2024-08-12T17:12:16,React
7e5f0b1d-d979-4428-a12f-905e5c43599b,Node.js,2023-06-06T16:29:25,2021-03-19T15:29:27,Node.js
eb7234d0-6aea-43bb-9da7-b4324523a356,SQL,2021-09-02T07:05:42,2024-07-20T22:19:26,SQL
c6d05706-eea7-482d-8dd9-ce802a837ef7,HTML/CSS,2024-08-05T22:17:52,2024-06-10T16:34:23,HTML/CSS
2dac9ca8-f3b4-48ac-81e7-347941a00472,Git,2020-11-29T21:42:59,2024-01-14T16:13:05,Git
4bf9974f-d64a-449b-858a-e075556700dc,Agile Methodologies,2023-08-11T04:07:35,2022-01-13T04:20:20,Agile Methodologies
1f6aa54b-25c2-4aae-b7f0-9a5e6846fb5a,Python,2024-06-21T23:23:02,2023-09-25T03:24:45,Python
3bb057b5-4c7c-4e15-85cc-1fcc0312306a,R,2022-09-27T22:43:45,2021-02-07T12:31:45,R
053f8377-0495-492c-b66b-4b589e587014,SQL,2022-04-16T10:57:33,2023-11-23T05:07:51,SQL
2d513e39-23d4-41c0-aea0-9ade9bb923e1,Machine Learning,2021-03-07T16:19:39,2021-02-05T09:58:05,Machine Learning
e5904739-f46b-43f3-b2e4-9a226445ab30,Statistics,2024-02-03T22:02:39,2021-11-18T06:06:12,Statistics
e813b1b7-8b79-459d-901c-36a45b169cdb,Data Visualization,2020-05-08T04:53:06,2021-07-18T22:07:54,Data Visualization
ab02b821-abc9-43d8-b41f-31484ea5b12b,Big Data Technologies,2023-08-09T17:10:14,2023-08-04T04:02:43,Big Data Technologies
63119e08-a91e-4110-924a-689e61e88ca8,Data Wrangling,2021-06-23T04:30:08,2023-07-02T00:33:38,Data Wrangling
3ed1c77a-a55c-4b78-9a00-98b1759f19a1,Deep Learning,2020-03-09T00:14:44,2020-02-24T04:32:09,Deep Learning
32b2eba8-f899-4d19-bef0-139c62398b12,Data Mining,2022-04-28T15:48:17,2024-03-12T17:09:55,Data Mining
1162d17d-de3c-4a02-806c-42a8cfac2620,Docker,2021-04-29T09:11:03,2024-09-08T08:34:38,Docker
cf70b6bd-aa40-45e2-ae12-d8d000359219,Kubernetes,2020-11-02T02:48:58,2024-06-24T14:46:27,Kubernetes
0f1d3460-ea77-46dc-859b-dc9ce542fd55,CI/CD,2020-08-04T00:03:12,2023-11-08T10:02:05,CI/CD
f682ace9-6274-4dfa-9dc5-1f5a7a78650f,Cloud Computing,2023-08-28T03:48:47,2021-10-26T22:37:32,Cloud Computing
5c1f9fd3-139c-4eb7-b757-b3033bffed34,Infrastructure as Code,2020-02-14T07:16:10,2022-07-30T08:33:50,Infrastructure as Code
c9db6e17-a149-4ea1-b062-3084e5cfd3b8,Linux,2021-03-10T21:10:34,2022-03-15T05:55:06,Linux
c0d0b544-8545-4bcd-817e-d7dd65bce4b9,Scripting,2024-08-11T08:32:57,2021-04-23T17:51:58,Scripting
fcb9e387-5ac1-43ab-a127-3e77fe185269,Monitoring,2024-09-16T11:30:55,2021-11-05T07:12:05,Monitoring
ab9139e6-352a-4e85-b455-3497937873f2,Agile Methodologies,2024-07-14T15:07:02,2022-07-12T05:43:11,Agile Methodologies
9aa196b9-ca3f-4c25-b42d-18454715bd29,Networking,2022-04-06T09:40:00,2020-11-19T11:37:25,Networking
7c70474f-ff24-4d64-ba36-8de90e99b0ef,HTML,2021-05-21T16:49:02,2023-12-16T10:43:26,HTML
fb7f2d22-829b-48e2-b531-8ceb2ca2eb94,CSS,2021-09-22T14:07:21,2021-01-13T09:54:28,CSS
db66db22-d105-4c36-a825-f1fba8a592a4,JavaScript,2024-08-11T03:46:02,2023-09-09T07:56:47,JavaScript
