_id,userId,skillId,score
86b49d78-6290-41db-a693-16f9eaec36a8,cd283c7f-fe6e-4c71-b43d-783331fd1db6,4cf6b019-a296-429e-84ac-c41bd9687005,43
138358ba-8930-432b-9755-3a1a39c046eb,3d5a25ab-b04f-4dc1-a135-ae68e2205d66,30b022a7-7c35-46ef-8714-aaf5ddfc63ef,79
7c217e79-6420-48cf-861a-4415cf07640e,8af47141-3e51-41c3-b822-eff7366dfdfb,0d96c861-af89-4688-8527-d767d9f7aa56,31
bb629f98-2fa1-4c11-bab7-090d847b280b,7ed75204-26d6-43a9-a842-8352e2ba9c54,9cb0c4ac-61ed-4849-8d65-720943ad8dab,96
d8c3b4bf-9938-4b95-8381-08b79d9d069f,f6f7e853-0707-4089-be09-c331d5a6ef51,40c47c83-f3d1-4f65-9f0c-8f13f4219e53,1
36b9a8c3-856b-4448-bb61-6546f0193305,fa8156ba-8d00-44df-8e2e-057791f4f46e,0630e71b-fa1e-425a-8786-55a3dc405352,94
b6aa21b5-0db2-43a5-aecc-beea98fb7fbd,2cc66bc3-e874-4154-b271-a1f69436e755,aed9332a-00fe-4461-9209-79c04c0f8c3f,46
7d5ff298-4f53-4cd9-8162-d770f5c21404,93cfe71c-ba49-4d00-9550-eb55fb1d6a9b,7dc8bce4-1cb9-4059-8126-1b5068fba9d5,4
d0a4ce5f-0b98-44d2-ab69-f827be0d7587,6e0cd6db-8ef8-41df-8a72-94b94d108221,d7490613-3cfd-47b6-8ae9-80a5b1c62a0d,33
6d1719b7-4683-4183-93c5-0625a0937fd0,64a20ab3-34de-43d3-b356-7fe80d244170,0b86fd2c-f687-47da-ba0d-63a68b6b9351,93
b5d9a83b-37e7-4efe-86cb-88b5bb668a14,9edc5e7f-6487-42df-b535-d6a747ee29f7,4f131c4e-d7dc-41ee-9589-a7cfe87f508b,22
fad0e5fc-834b-480b-82ce-b11e1b1c5fcd,e6702ac5-53e8-4291-81aa-0e6f411b042d,0630e71b-fa1e-425a-8786-55a3dc405352,65
aa574e3e-8c5b-4e85-8993-7a3942416f21,8442dbcf-46ef-4e0d-ae1d-d58955b3d864,0b86fd2c-f687-47da-ba0d-63a68b6b9351,7
b9c6a306-6783-4d50-9adc-ad2a14a04ba6,81586d41-2cda-46a7-a766-b6bb88918b71,8ef774e9-5d5d-41ad-8b92-5a338496a5e1,17
3cd9a1ce-5b33-452e-8417-585c2d9c8109,d50637b4-cd82-457b-b9bd-258f923935b6,bc1d8449-dcc3-4f13-9223-9298e2d8d8e5,10
660fe7ed-534d-4a91-aa14-59f4a6603bcd,ea9e1215-943d-4ea4-8064-b974146f045d,8fa7cf10-262e-4b79-bccb-7c70ac34b64f,21
44e219af-42d1-40e0-85fb-2ba97ff99ccb,a663b61c-6ba1-4e16-aef0-a4a8b121e932,bd8fc54d-bead-454c-9558-d5a4cfdaa8c6,87
a81fb1ad-237b-4961-88b6-ad6c44120a1a,92a44c82-0a91-41c1-9184-24b61da9a4c7,149d8cb7-dbab-497e-95b4-1cd2ee6b00db,79
c22667a1-f6e6-4c6d-a1f3-e8d1334d8211,7c336bf2-0a94-4e3e-8598-cd2496b0079b,3a9f5882-cb6a-4ab5-80fc-ea10cee1e682,23
b56519d7-ba1e-4da3-ac2d-7a4eaf608683,9ef2d602-1eaf-45f7-9172-6d536bafaad8,dcd2a339-d986-4436-9881-7594edeb968b,29
622859a1-1b5f-4b11-b095-31d4be500f6e,01f292c1-f124-4237-9e54-24502769583b,412d3e32-297d-48be-b9f9-61dc358503f0,50
fd29ef82-2188-4626-afb9-226065263b3c,d95affce-15e8-4700-9cbc-c67a526f026d,15173f2c-d2b5-4101-980d-9ceb70cdfa2a,85
b8012346-7199-4f7f-b55e-95a23e9f0870,c6a9aa95-0c09-4be6-8477-2977d29aa2fd,b0dc3acd-173e-4215-b4cb-c7dffd1125cd,88
7395b390-b5b8-4c21-bf42-267dc727249d,16d3f5cd-d7cb-434a-9cf4-ad593512bd2d,8ffe17e9-d0af-4028-b42c-0f39b30d99fd,28
a70fc703-ef04-45bb-a802-e0381745b719,e83a9de1-b077-4fe4-bca0-8a8b58475b9c,cd5b723e-68d4-4feb-b288-e1b54b1812b6,58
032092d6-fef2-4b19-abc4-59b3b10d6e1a,512b1ca4-7c22-45fe-b54a-4ba5cbe64e42,d78a2c7c-68b0-4820-9d28-f7a61e18168f,15
b7b1a02f-6b6c-4b1f-be3a-12562f81efa1,3eb402d0-4afa-49a3-8ccb-0ad6ec91e09d,0d96c861-af89-4688-8527-d767d9f7aa56,15
6f9b9d31-1acc-4473-872c-c1a13ca9b8d4,1837a568-17cf-4892-9cd4-3768bbc9e1b2,1371fda6-18b8-4ccf-af83-5d23240f51a0,47
1b28880c-33f1-4e36-9adb-81732d454675,7327d1f4-b2a5-42be-b2dd-c55133a3585c,cbc8315c-e546-4006-8b55-b19303a8eab9,83
21e6aafc-5a88-4c7b-98c5-b8b33becd3c2,c4194996-4cf2-4fe3-9b43-59e7c0da95f4,e36ab364-4240-4c4d-93a3-f9a25f23b430,73
4dccc10e-6587-4c2c-967e-c621793f2194,88074e28-22c0-4f2c-bda9-ad848153fa8c,93a06f45-97d4-4363-9fb0-20a370ec8b7d,8
29d5b393-87bc-4c5f-9f19-6dc49af55d88,d81652f2-f495-4e52-a426-d92949837825,68671ac1-b1ce-49cd-80aa-ece993eaf090,35
e797c8a2-7451-4be6-bf1e-be3e7f1831c9,d77f6a3f-5bd8-41f1-a702-e5204bddd923,30b022a7-7c35-46ef-8714-aaf5ddfc63ef,25
f6ca5391-fff8-4d38-8677-0c643c898a58,66305baf-484e-4219-b42e-59cdef889e9f,d7490613-3cfd-47b6-8ae9-80a5b1c62a0d,45
fef9b2a4-a146-4146-b54e-351ffe1102ba,2c6c02e1-1d57-46d9-ae5e-b6bf81f9449b,4a449d43-62d2-43b3-9fe9-1ab457b87062,24
6fdfb3db-6427-414f-8a18-3b92ae4733c0,20783d79-381f-4582-ad90-4fd0d7e7bc5e,93a06f45-97d4-4363-9fb0-20a370ec8b7d,39
a4d0647d-7b82-472f-b614-f1fb3bbe5edd,ec81ba9c-e473-4f42-9c71-f530707d1d60,bd8fc54d-bead-454c-9558-d5a4cfdaa8c6,85
761456d5-2568-4f8a-a950-303e46df6f3e,22ba9a24-77ae-474a-804d-84bfecd51ff0,bc1d8449-dcc3-4f13-9223-9298e2d8d8e5,15
6adedc79-4eb5-4018-92d3-b98b8853153c,91153390-b14e-409b-b97a-07dacfc6d49b,93a06f45-97d4-4363-9fb0-20a370ec8b7d,20
9461909d-dd20-4be2-bb68-27d68bfac14d,91e17aa6-b947-4736-b0d2-f3cf2144d0ba,03356137-e141-4ffa-88d6-0d45e2668327,55
a1a045e9-3496-442a-b685-428467235029,fd65fd6f-2c4f-44e5-beb6-1c144f3d8560,184256a7-e3d9-4554-b174-17d202397bfd,90
286960d7-3b1b-4b41-a2b5-104746bbea65,063a1c02-62c1-4eb7-a29b-e47b843f900e,0630e71b-fa1e-425a-8786-55a3dc405352,48
b52480d3-b9a7-4530-90e2-e0696daf174e,455794f6-6668-4d08-95cc-082ff24ce25f,7f01f392-2583-40d9-be2a-d166105f3cdf,76
852bcb88-6154-4862-a0ca-d531d9017fe4,9f2c4482-14ba-44b0-a9f6-dba104ce0b5a,6faa45a5-2278-45a7-893a-febadbe8669b,86
478d7593-8580-4eee-876a-a2961ed36a53,c1c537f4-9cbc-45b5-be28-3862284822c7,47e98da4-e6a1-48b0-ae8d-6e49cc0b1e7c,8
8c1eade7-a731-4fc5-8798-1112b1b009c4,4d75b6c4-21a4-49f6-8efd-d7383c89ecab,c6eddea0-5618-4e83-b12f-c886fe11022e,75
87b2426e-f57e-43fe-8135-d9bb00adfafc,78d9718f-6e95-4c59-af4c-08f4c74f41f9,68671ac1-b1ce-49cd-80aa-ece993eaf090,62
2a22d361-0352-4afb-b313-fbadc0e4dbd1,4f51e109-fb0f-4d88-9852-e419f091303c,cd1c7297-54be-464e-90b4-2eaf5f7225b3,98
5982d8a5-d8ff-4510-89ac-095ffab72099,564129c6-ccef-4ddc-9c80-736b7fb1a87a,bd8fc54d-bead-454c-9558-d5a4cfdaa8c6,35
