roleId,skillId,name
4a7cdfaf-b436-46e2-a8a2-5dc4835d40b9,640c213d-8a6a-4056-8097-f503261f10f2,Java
4a7cdfaf-b436-46e2-a8a2-5dc4835d40b9,88e8b761-f319-43ad-b4a5-f7a4ec5ce84a,Python
4a7cdfaf-b436-46e2-a8a2-5dc4835d40b9,e191e70b-6f79-4445-b734-9cc534f8b0c5,C#
4a7cdfaf-b436-46e2-a8a2-5dc4835d40b9,c3fa5509-12fc-4ea6-8757-922636072436,JavaScript
4a7cdfaf-b436-46e2-a8a2-5dc4835d40b9,b67791b0-c917-4aed-bd8b-62d0f1ac33f8,React
4a7cdfaf-b436-46e2-a8a2-5dc4835d40b9,30ac28f2-99e6-46fb-8187-85575ce7ed92,Node.js
4a7cdfaf-b436-46e2-a8a2-5dc4835d40b9,07183731-e1f0-43c1-8934-8d85c833a21f,SQL
4a7cdfaf-b436-46e2-a8a2-5dc4835d40b9,84e45dca-8ac8-4d5a-8545-f151411945e6,HTML/CSS
4a7cdfaf-b436-46e2-a8a2-5dc4835d40b9,490046b3-0ea5-4c93-ab82-c55fefe42d09,Git
4a7cdfaf-b436-46e2-a8a2-5dc4835d40b9,888df043-7361-4447-a98e-96012d704ba6,Agile Methodologies
1a52dd70-8466-4e47-8600-1677136f4fec,47fe9e10-2339-4341-8942-99a777e0f2fe,Python
1a52dd70-8466-4e47-8600-1677136f4fec,6c73cf60-eca7-4b4f-9664-6ea45fa21938,R
1a52dd70-8466-4e47-8600-1677136f4fec,786a392a-c4c7-41a5-882f-5298eb35b28c,SQL
1a52dd70-8466-4e47-8600-1677136f4fec,b0804c18-ecb0-4fde-910e-b4de6aa89c7b,Machine Learning
1a52dd70-8466-4e47-8600-1677136f4fec,aeee53c1-c5ea-48f4-a654-2c2ba8a64222,Statistics
1a52dd70-8466-4e47-8600-1677136f4fec,79d6db6d-ebb1-4ee7-9303-56fece6021e3,Data Visualization
1a52dd70-8466-4e47-8600-1677136f4fec,f424367e-45ae-4223-af4b-9ab12057210b,Big Data Technologies
1a52dd70-8466-4e47-8600-1677136f4fec,5022d4e8-f6e2-4535-b3ba-327e1643cee2,Data Wrangling
1a52dd70-8466-4e47-8600-1677136f4fec,448666f9-5ab4-44e7-9577-fdc85096e84e,Deep Learning
1a52dd70-8466-4e47-8600-1677136f4fec,10d0d63a-6eac-4180-8b27-e0fe685dfb27,Data Mining
e35f4200-b9f8-44c1-b417-09d833a343d9,4d1ae759-311b-4924-8ed3-fd26e33445ae,Docker
e35f4200-b9f8-44c1-b417-09d833a343d9,7c4f47c3-8dc6-4c0f-8988-ce247276b49b,Kubernetes
e35f4200-b9f8-44c1-b417-09d833a343d9,c216c802-62a2-4803-bb28-c4d1626cdf3e,CI/CD
e35f4200-b9f8-44c1-b417-09d833a343d9,7e0fc272-3238-4b50-b0c6-68cc66ea818f,Cloud Computing
e35f4200-b9f8-44c1-b417-09d833a343d9,3a87f5a4-2e01-4e0b-9163-f41c2b8a908a,Infrastructure as Code
e35f4200-b9f8-44c1-b417-09d833a343d9,5e6611c9-725c-41fa-adec-8ff2f50047ac,Linux
e35f4200-b9f8-44c1-b417-09d833a343d9,c9aef49f-f693-478a-a448-54cfa8d97759,Scripting
e35f4200-b9f8-44c1-b417-09d833a343d9,831cdce8-48ad-45f1-b624-e3c888660fb0,Monitoring
e35f4200-b9f8-44c1-b417-09d833a343d9,983a9474-c156-4974-ac39-454bc63ab606,Agile Methodologies
e35f4200-b9f8-44c1-b417-09d833a343d9,23d5a29f-e2a3-4608-8e8b-30042de030f6,Networking
c581ca4e-3b3e-47fe-b1c1-ac3dcaf75783,db79c479-a5c5-4935-bf1f-3d59db1f51a4,HTML
c581ca4e-3b3e-47fe-b1c1-ac3dcaf75783,a5f7f3ff-7f72-4ed6-b3b1-110a846ae21a,CSS
c581ca4e-3b3e-47fe-b1c1-ac3dcaf75783,9b9da1f8-f33d-446e-a33e-fca62aee8af0,JavaScript
c581ca4e-3b3e-47fe-b1c1-ac3dcaf75783,3abb1d8f-c2ea-4776-9563-ec5c3df9cb30,React
c581ca4e-3b3e-47fe-b1c1-ac3dcaf75783,5c839fc2-51a9-40c7-95a6-bf098573a78a,Angular
c581ca4e-3b3e-47fe-b1c1-ac3dcaf75783,36d16390-9c26-40b9-bb0e-5f5c2ebf0f12,Vue.js
c581ca4e-3b3e-47fe-b1c1-ac3dcaf75783,a06cf7a5-bce5-4f01-8b90-4b53c270c700,Responsive Design
c581ca4e-3b3e-47fe-b1c1-ac3dcaf75783,15c0a618-fbba-49b6-a38b-630b73e9a65e,Cross-browser Compatibility
c581ca4e-3b3e-47fe-b1c1-ac3dcaf75783,1df7cce7-6087-4534-abe8-2711bc329d4d,Version Control/Git
c581ca4e-3b3e-47fe-b1c1-ac3dcaf75783,38a02a10-ffef-4a69-ad71-d31dd6d3995f,Web Performance Optimization
196c18a9-4aef-4755-a3ee-4b6f418c71e3,c1f57ab2-772e-4b08-a506-e345a56b47ca,Node.js
196c18a9-4aef-4755-a3ee-4b6f418c71e3,0159c8e1-09fa-46e8-b100-68385fb83e74,Java
196c18a9-4aef-4755-a3ee-4b6f418c71e3,d377f5cb-ae3f-4eec-8421-4fb27320a1a9,Python
196c18a9-4aef-4755-a3ee-4b6f418c71e3,247b2dea-6a20-434c-97fd-441d94e090ba,Ruby
196c18a9-4aef-4755-a3ee-4b6f418c71e3,e2f9a2d1-be29-4b2c-8437-2bcaea5f4678,PHP
196c18a9-4aef-4755-a3ee-4b6f418c71e3,d4f2c198-8c54-4439-ab34-df0942abd6ce,SQL
196c18a9-4aef-4755-a3ee-4b6f418c71e3,00da8420-57ae-4fa2-b05c-e9328cb72c07,NoSQL
196c18a9-4aef-4755-a3ee-4b6f418c71e3,a3f33f63-745f-4a8b-a9d4-322c1cc2ea29,API Development
196c18a9-4aef-4755-a3ee-4b6f418c71e3,67f9ac00-d96e-40a9-8112-73ced6526405,Microservices
196c18a9-4aef-4755-a3ee-4b6f418c71e3,8a8d599d-b5aa-4cde-bbbd-58ea1684bd13,Security Best Practices
791867b5-ae38-44aa-b2b0-c258b4f25afb,c89f0d58-d1b8-42a0-b6fe-18c6ea5f8557,JavaScript
791867b5-ae38-44aa-b2b0-c258b4f25afb,bbf00ae0-96c2-4253-b2a9-8594e7df393b,Node.js
791867b5-ae38-44aa-b2b0-c258b4f25afb,816b7740-1699-4485-80e5-d45ba6f78154,React
791867b5-ae38-44aa-b2b0-c258b4f25afb,1d534eaa-2af4-4c8d-b2fe-48c6c79f963e,HTML/CSS
791867b5-ae38-44aa-b2b0-c258b4f25afb,eb4a14c2-d62a-4b1c-a9e9-ed12c4cbc8b0,SQL
791867b5-ae38-44aa-b2b0-c258b4f25afb,15244bbf-fbe1-4147-94a6-aa9eff510d1e,RESTful APIs
791867b5-ae38-44aa-b2b0-c258b4f25afb,37b9f5f5-ad13-4b8c-adb2-8ef8d3690442,Git
791867b5-ae38-44aa-b2b0-c258b4f25afb,6fb0e637-bff9-44d8-809d-cad9fa34894b,Agile Methodologies
791867b5-ae38-44aa-b2b0-c258b4f25afb,c3fa2944-5083-44a1-af7b-50888fe05f9e,Testing/Debugging
791867b5-ae38-44aa-b2b0-c258b4f25afb,bf8529c8-2bb5-45f2-94ac-b53eb92d13a5,DevOps Practices
83f4c079-c440-4fa4-b5f5-a75d22347cc4,9328254b-21fe-4cbf-9d32-e26923c41945,SQL
83f4c079-c440-4fa4-b5f5-a75d22347cc4,07c8db4d-0672-4f7b-b050-6eb10d69c9ce,Excel
83f4c079-c440-4fa4-b5f5-a75d22347cc4,f8180a48-1efb-41ac-8fef-0d1f3d828b5d,Data Visualization
83f4c079-c440-4fa4-b5f5-a75d22347cc4,5c01cf6b-f6dd-4182-85dc-426150729a4e,Python
83f4c079-c440-4fa4-b5f5-a75d22347cc4,711be605-c06e-499c-b9ec-e1f23c44bdbb,Data Cleaning
83f4c079-c440-4fa4-b5f5-a75d22347cc4,7da799ed-d9b8-424a-a25b-f8412e870184,Data Analysis
83f4c079-c440-4fa4-b5f5-a75d22347cc4,04334ee4-0bf9-4e71-9e09-088ca64c6707,Statistics
83f4c079-c440-4fa4-b5f5-a75d22347cc4,7b9f0f9c-bea1-4ba1-a598-ab4f09c0aeab,Reporting
83f4c079-c440-4fa4-b5f5-a75d22347cc4,a0fa9bb2-78f0-4ac2-bb8e-96af991441af,Business Intelligence
83f4c079-c440-4fa4-b5f5-a75d22347cc4,b158f142-3871-48ff-8d80-2b6b326046fd,Data Mining
2ff032a8-e315-4073-afa5-9906c87db625,f6759005-fc44-4b3c-aedc-130890d11167,Network Security
2ff032a8-e315-4073-afa5-9906c87db625,b553b19c-f7f5-4a2d-a011-77b1c04f897a,Firewalls
2ff032a8-e315-4073-afa5-9906c87db625,cffc7c1c-ce81-4c16-b264-a347ba24580c,Intrusion Detection
2ff032a8-e315-4073-afa5-9906c87db625,4e1ec7bd-9d3b-433b-bf12-43b47a81b363,Penetration Testing
