_id,userId,certificationId,certificationName,started_at,completed_at,competency,isVerified,imageData
153a8cbb-a60d-438f-8d9e-fe460965d5c9,ebb40155-7474-49d2-8613-f624b245222e,0495e513-ae97-4b21-8eba-1a7b6ac8e162,"Howard, Lopez and Escobar",2024-08-19T05:31:37,2021-06-26T09:44:45,BEGINNER,False,https://picsum.photos/1020/476
72ddbba1-59c5-4e53-a1bd-f33c461a7bee,620bf8d9-8661-4dc5-bb02-087b5158168f,d3935f0b-a520-42d4-8411-1db4909b1ee2,Murphy Ltd,2020-10-19T04:14:54,2023-03-27T19:31:38,BEGINNER,True,https://placekitten.com/665/543
f75dff32-5a11-49bd-bed8-25d21fd411bb,dee5af30-2ffe-4df2-b779-61de935da43a,50b225d6-f681-419f-844d-5a65de740979,Ross and Sons,2020-02-15T17:53:17,2021-06-20T02:44:57,ADVANCED,False,https://picsum.photos/667/847
989ce495-9118-43df-85c6-6d59f3373c86,05669ffd-24cf-4f43-89e7-17863148fea1,cc024b6e-3e87-4ac7-8110-250389173502,Patel Inc,2021-01-24T05:46:27,2022-07-29T05:24:03,ADVANCED,False,https://picsum.photos/37/128
7202b132-6650-4125-9317-cf2bd3907c86,fc1235ac-85de-408f-95f4-e15559fea780,5e8cab67-42c6-404a-a00b-9e3f3a841458,Walton-Reynolds,2020-01-12T01:01:54,2022-02-23T14:18:04,EXPERT,True,https://picsum.photos/843/268
9599b62a-13b7-4d53-8cbf-6a7a86a4cfe1,d94c9a16-ca3c-40f3-af75-f46357a0cb56,369e47ed-c4fe-4d9c-b622-e97691bfd4de,Adams and Sons,2021-06-10T11:26:48,2022-05-22T03:09:37,ADVANCED,True,https://dummyimage.com/253x441
49edd45b-49ef-481f-9aac-314fa3c3095a,9917354c-cadb-483c-a27f-e36ac19fc369,bdbf0179-2894-4df0-a26f-398c520f55bc,Williams-Huff,2020-09-18T11:55:40,2020-09-14T15:50:43,EXPERT,False,https://placekitten.com/11/22
a5aa60f7-9ba3-4557-89cc-fc5ae1f7df86,a41a61f9-e08f-49af-be79-3a396cd82a79,e6c5bd24-fcbf-456d-ba06-20867f686515,Gonzalez LLC,2021-12-31T23:06:26,2021-08-14T00:02:38,ADVANCED,True,https://placekitten.com/816/670
ba66a047-5a44-4ad9-ab63-813697e58fe8,d436f842-2418-408c-b95a-39f0d1f647b1,d11ed549-2f3f-4671-bcec-58957c9bb17c,Swanson Ltd,2024-05-18T10:50:57,2022-06-03T06:46:32,INTERMEDIATE,True,https://dummyimage.com/593x153
f23ebe05-ba77-4353-a103-cb207b77dfa7,ee8dfc1e-deb7-48ce-8ec2-882a22f6f4bc,94e6c238-e334-40e5-87ff-fff2e64ceb1a,Howell Ltd,2021-09-28T10:34:03,2021-08-09T11:31:15,BEGINNER,True,https://dummyimage.com/243x474
2608b11e-e7e4-4ba5-b66c-2c236e388c23,02dade86-93ff-49dd-9789-68dd692ae174,4458e12a-3ad8-4018-8bcc-4e754e578d6c,Ballard Inc,2020-07-09T22:35:54,2022-07-09T04:56:00,ADVANCED,True,https://dummyimage.com/77x749
d262f860-b2c5-4be6-bedd-a6416a98455a,f0ed4a7d-30ce-4929-81bf-43f247d683bc,d0eb3754-5f49-4725-8cd4-736b26025804,"Lang, Owens and Mccarthy",2021-08-06T23:19:29,2024-09-14T10:46:05,INTERMEDIATE,True,https://dummyimage.com/495x474
5b6ff4bb-da05-4cfa-a5ab-f38fc1ec6e81,733f81bc-fea7-4303-918e-d79df8073ec2,e6c5bd24-fcbf-456d-ba06-20867f686515,Ortiz-Baker,2020-12-22T19:04:20,2022-05-28T03:29:27,BEGINNER,True,https://picsum.photos/60/873
4ef46fbe-f48a-43d4-b595-2a879f2b4ffc,8feec357-2c3f-48a7-ba64-308537591234,ffdc11c5-3bf1-438d-a59a-51e8db86dd3d,"Merritt, Black and Padilla",2022-05-17T06:10:21,2022-05-29T20:56:01,BEGINNER,False,https://dummyimage.com/228x153
bd397224-a486-4235-a50b-2606e5adc4c4,894073e2-cf99-4a52-9422-ade28adf3ebb,f4258b64-487c-4881-aaf1-5f379ef03146,"Harrington, Bentley and Summers",2020-12-06T05:49:47,2022-02-08T09:38:44,EXPERT,False,https://dummyimage.com/606x562
24e07a79-5a88-4154-a052-98a6a46e0267,5c1ef639-07c1-43e7-be9a-876933db2ad3,40002a8a-5e46-4c8b-898a-f1c2310a7123,Parker Inc,2021-02-14T20:19:07,2024-04-01T20:42:38,INTERMEDIATE,False,https://dummyimage.com/52x492
